Stanice,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Luční bouda,3.6,0.5,0,0,0.4,0.7,0.1,0.4,0,0,0.3,0.4,1.4,0.3,0.1,0,0,0,0,0,0,0,0,0
Blatný vrch,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.1
Plechý,0.1,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Boubín, vrchol",0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Šerák,1.7,2.1,0.3,0,0.1,0.8,0.3,0.5,0,0.2,0,0.2,0.7,0.1,0,0,0,0,0,0,0,0,0,0
Lysá hora,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Labská bouda,1.7,0.1,0,0,0.5,0.4,0,0,0,0.3,1.2,0,0.6,0.5,0.2,0,0,0,0,0,0,0,0.2,0.1
Klínovec,0,0,0,0.3,0,0,0,0.2,0.1,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.3
"Bučina, u Kvildy",0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.1
Churáňov,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0
Dvoračky,1.7,0,0,0,0.3,0.7,0,0,0,0,0.5,0.1,0.1,0.2,0,0,0,0,0,0,0,0,0.1,0.1
Filipova Huť,0.2,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0
"Horská Kvilda, u Hamerského potoka",0.1,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0
"Pomezní boudy, Horní Malá Úpa",1.9,0.6,0,0,0.7,0.7,0.3,0,0,0,1,0,0.6,0.3,0.1,0,0,0,0,0,0,0,0,0
"Bělá pod Pradědem, Červenohorské sedlo",1,0.7,0.2,0,0.1,0.5,0.3,0,0.1,0.2,0,0.1,1.1,0.4,0,0,0,0,0,0,0,0,0,0
"Staré Město pod Sněžníkem, Paprsek",0.9,0.5,0,0,0.1,0.7,0.3,0,0.1,0,0,0.4,0.3,0,0,0,0,0,0,0,0,0,0,0.1
Kubova Huť,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Špičák,1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0
Dyleň,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,3.1,0.1,0
Přebuz,0,0,0.1,0,0,0.1,0,0.5,0,0.1,0,0,0,0,0,0,0,0,0,0.3,0,0,1,0.1
Borová Lada,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0
Abertamy,0,0,0,0.3,0,0.2,0,0.7,0.4,0,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0
Prášily,1.3,0,1.5,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0
"Luisino údolí, Deštné v Orlických horách",0,0,0,0,0,0.3,0.5,0,0,0,0.3,0,0.2,0.3,0.1,0,0,0,0,0,0,0,0,0.1
Hojsova Stráž,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.4,0,0
"Kořenov, Jizerka",1.1,0,0,0.2,0.5,0,0,0,0,0,0.3,0,0.8,2.1,0.1,0,0,0,0,0,0,0,0,0.6
"Kynžvart, Lazy",0,0,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.1,0
