Stanice,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Luční bouda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6,0.4,0.9
Blatný vrch,,,,,,,,,,,,,,,,,,,,,,,,
Plechý,,,,,,,,,,,,,,,,,,,,,,,,
"Boubín, vrchol",,,,,,,,,,,,,,,,,,,,,,,,
Šerák,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.7,0.5,0.2,0.1,0.4,1.6
Lysá hora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.1,0,0,0.2,0
Labská bouda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.9,0.5,1.2,2.2,1.7,1.7,2.2,3.8
Klínovec,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.6,0.5,0.5,0.7,0,0,0.3,0.9,0.4,0.3
"Bučina, u Kvildy",0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.8,1.4,1.4,2,1.4,0,0,0.3,1.8,2,1.6
Churáňov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0.2,0.6,0.1,0,0,1,0.9,1
Dvoračky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.4,1.5,0.8,1.2,2.1,1.5,2.5,,
Filipova Huť,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.6,0.7,0.7,0.6,0,0,0.2,1.4,1.2,1.5
"Horská Kvilda, u Hamerského potoka",,,,,,,,,,,,,,,,,,,,,,,,
"Pomezní boudy, Horní Malá Úpa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.1,0.6,1,1.1,0.6,2.1,2.4
"Bělá pod Pradědem, Červenohorské sedlo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.5,0,0.4,0.4,0.1
"Staré Město pod Sněžníkem, Paprsek",0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0.1,0.5,0.1,0.1,0,0,0
Kubova Huť,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0.9,0.7,0.1,0,0,0.5,0.6,0.5
Špičák,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.1,0.7,0.9,0.9,0.8,0.7,0.1,0,0.5,1,2.1,2.3
Dyleň,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.2,0.3,0.8,0.1,0.2,0.2,0,0.1,0,0,0.2
Přebuz,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.6,0.7,0.6,0.9,0.2,0.2,1,0.3,1.1,1.5
Borová Lada,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,1,1.3,1,0.7,0.1,0,0.1,1.2,0.9,0.8
Abertamy,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.7,0.6,0.5,0.5,1,0.1,0.2,1.8,0.1,0.9,0.8
Prášily,0,0,0,0,0,0,0,0,0,0,0.3,0.1,0,0.6,2.7,2.9,1.8,1.5,0,0,0.4,2,2.3,2.6
"Luisino údolí, Deštné v Orlických horách",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.2,0.2,0,0.4,0,0
Hojsova Stráž,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.5,0.9,1.4,0.8,0.3,0,0.1,0.2,0.4,1.5,2.6
"Kořenov, Jizerka",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.1,0.8,1.2,0.4,1.8,2.4,2.1
