js,precip_known,final,ID,X,Y,ELEVATION,NAME,FNAME,STATION_TYP
Abertamy,Abertamy,Abertamy,L3ABER01,12.816447,50.367742,893.0,Abertamy,Abertamy,ASS
Aš,Aš,Aš,L3AS0001,12.179572,50.220602,675.0,Aš,Aš,AKS1
Bahno,Bahno,Bahno,H3BAHN01,15.234033,49.866846,420.0,Bahno,Bahno,ASS
Bečov nad Teplou,Bečov nad Teplou,Bečov nad Teplou,L3BECO01,12.836679,50.0824,529.0,Bečov nad Teplou,Bečov nad Teplou,ASS
Bedřichov,Bedřichov,Bedřichov,U2BEDR01,15.13708,50.81511,777.0,Bedřichov,Bedřichov,AKS1
Bechyně,Bechyně,Bechyně,C2BECH01,14.469444,49.299444,409.0,Bechyně,Bechyně,ASS
Bělá pod Pradědem. Červenohorské sedlo,"Bělá pod Pradědem, Červenohorské sedlo",Červenohorské sedlo,O1BECS01,17.154264,50.125009,1010.0,Bělá pod Pradědem,Bělá pod Pradědem. Červenohorské sedlo,ASS
Bělotín,Bělotín,Bělotín,O1BELO01,17.8042,49.5869,306.0,Bělotín,Bělotín,AKS1
Benešov,Benešov,Benešov,P3BENS01,14.69668,49.78862,343.0,Benešov,Benešov,ASS
Bernartice,Bernartice,Bernartice,C1BERN01,14.389167,49.366111,485.0,Bernartice,Bernartice,ASS
Bezvěrov,Bezvěrov,Bezvěrov,L2BEZV01,13.054363,49.993664,699.0,Bezvěrov,Bezvěrov,ASS
Bílá. Konečná,"Bílá, Konečná","Bílá, Konečná",O1BILA01,18.5233,49.4547,720.0,Bílá,Bílá. Konečná,AKS2
Bílý Potok. Smědava,"Bílý Potok, Smědava","Bílý Potok, Smědava",U2SMED01,15.27318,50.84452,834.0,Bílý Potok,Bílý Potok. Smědava,AKS4
Bílý Újezd. Hroška,"Bílý Újezd, Hroška","Bílý Újezd, Hroška",H2BILU01,16.209938,50.234904,319.0,Bílý Újezd,Bílý Újezd. Hroška,ASS
Bohumín. Záblatí,"Bohumín, Záblatí","Bohumín, Záblatí",O1BOHU01,18.3692,49.882,237.0,Bohumín,Bohumín. Záblatí,AKS2
Bojkovice,Bojkovice,Bojkovice,B1BOJK01,17.81,49.0402,310.0,Bojkovice,Bojkovice,AKS3
Borkovice,Borkovice,Borkovice,C2BORK01,14.636825,49.207925,419.0,Borkovice,Borkovice,AKS2
Borohrádek,Borohrádek,Borohrádek,H2BORH01,16.086691,50.105254,254.0,Borohrádek,Borohrádek,AKS2
Borová Lada,Borová Lada,Borová Lada,C1BLAD01,13.661958,48.99055,898.0,Borová Lada,Borová Lada,AKS3
Borovno. Míšov,"Borovno, Míšov","Borovno, Míšov",L1BORO01,13.727867,49.623944,651.0,Borovno,Borovno. Míšov,ASS
Boseň. Mužský,"Boseň, Mužský","Boseň, Mužský",P2BOSE01,15.0404,50.5222,382.0,Boseň,Boseň. Mužský,ASS
Božanov,Božanov,Božanov,H3BOZN01,16.361634,50.525216,426.0,Božanov,Božanov,ASS
Brandýs nad Labem-St.B,Brandýs nad Labem-St.B,Brandýs nad Labem-St.B,P2BRAN01,14.660559,50.189691,179.0,Brandýs nad Labem-St.B,Brandýs nad Labem-St.B,AKS1
Branná. Františkov,"Branná, Františkov","Branná, Františkov",O2BRAN01,17.0129,50.1324,548.0,Branná,Branná. Františkov,ASS
Brno. Tuřany,"Brno, Tuřany","Brno, Tuřany",B2BTUR01,16.688889,49.153056,241.0,Brno,Brno. Tuřany,AMS
